word,sentence1,sentence2,same,ambiguity_type,disambiguating_word1,disambiguating_word2,version,Class,mean_relatedness,median_relatedness,diff,count,sd_relatedness,distance_bert,distance_elmo,se_relatedness,v1,v2
act,It was a desperate act.,It was a magic act.,FALSE,Polysemy,desperate,magic,M1_a_M2_a,N,2.181818182,2,0.181818182,11,1.328019715,0.204110265,0.034093499,0.40041301,M1_a,M2_a
act,It was a desperate act.,It was a comedic act.,FALSE,Polysemy,desperate,comedic,M1_a_M2_b,N,2,2,0,7,1.290994449,0.215615511,0.045926571,0.487950036,M1_a,M2_b
act,It was a humane act.,It was a magic act.,FALSE,Polysemy,humane,magic,M1_b_M2_a,N,2.818181818,3,0.181818182,11,0.981649817,0.191488087,0.042350948,0.295978556,M1_b,M2_a
act,It was a humane act.,It was a comedic act.,FALSE,Polysemy,humane,comedic,M1_b_M2_b,N,2.80952381,3,0.19047619,21,0.92838826,0.225271583,0.05770725,0.202590927,M1_b,M2_b
act,It was a desperate act.,It was a humane act.,TRUE,Polysemy,desperate,humane,M1_a_M1_b,N,3.9,4,0.1,10,0.316227766,0.167989969,0.041440308,0.1,M1_a,M1_b
act,It was a magic act.,It was a comedic act.,TRUE,Polysemy,magic,comedic,M2_a_M2_b,N,3.764705882,4,0.235294118,17,0.437237316,0.162387192,0.035784066,0.106045626,M2_a,M2_b
appeal,He had a universal appeal.,He had a legal appeal.,FALSE,Polysemy,universal,legal,M1_a_M2_a,N,1.571428571,1,0.571428571,14,1.741541568,0.370739162,0.108166337,0.465446562,M1_a,M2_a
appeal,He had a universal appeal.,He had a pending appeal.,FALSE,Polysemy,universal,pending,M1_a_M2_b,N,1,0,1,18,1.328422328,0.430851221,0.150558531,0.313112146,M1_a,M2_b
appeal,He had an undefinable appeal.,He had a legal appeal.,FALSE,Polysemy,undefinable,legal,M1_b_M2_a,N,1.235294118,1,0.235294118,17,1.200490096,0.398581862,0.13264215,0.291161616,M1_b,M2_a
appeal,He had an undefinable appeal.,He had a pending appeal.,FALSE,Polysemy,undefinable,pending,M1_b_M2_b,N,0.714285714,0,0.714285714,7,1.253566341,0.4461236,0.182452857,0.473803541,M1_b,M2_b
appeal,He had a universal appeal.,He had an undefinable appeal.,TRUE,Polysemy,universal,undefinable,M1_a_M1_b,N,3.7,4,0.3,10,0.483045892,0.120313466,0.045355678,0.152752523,M1_a,M1_b
appeal,He had a legal appeal.,He had a pending appeal.,TRUE,Polysemy,legal,pending,M2_a_M2_b,N,3.272727273,4,0.727272727,11,0.904534034,0.098901391,0.060672343,0.272727273,M2_a,M2_b
atmosphere,It was a tense atmosphere.,It was a gaseous atmosphere.,FALSE,Polysemy,tense,gaseous,M1_a_M2_a,N,1.214285714,1,0.214285714,14,1.050902281,0.352736831,0.102721155,0.280865449,M1_a,M2_a
atmosphere,It was a tense atmosphere.,It was a polluted atmosphere.,FALSE,Polysemy,tense,polluted,M1_a_M2_b,N,1.846153846,2,0.153846154,13,1.28102523,0.256296635,0.068193078,0.355292473,M1_a,M2_b
atmosphere,It was a hostile atmosphere.,It was a gaseous atmosphere.,FALSE,Polysemy,hostile,gaseous,M1_b_M2_a,N,1.538461538,2,0.461538462,13,0.877058019,0.252422631,0.092967808,0.243252128,M1_b,M2_a
atmosphere,It was a hostile atmosphere.,It was a polluted atmosphere.,FALSE,Polysemy,hostile,polluted,M1_b_M2_b,N,2.181818182,2,0.181818182,11,0.873862898,0.126936376,0.052345157,0.263479577,M1_b,M2_b
atmosphere,It was a tense atmosphere.,It was a hostile atmosphere.,TRUE,Polysemy,tense,hostile,M1_a_M1_b,N,4,4,0,11,0,0.129758179,0.037254393,0,M1_a,M1_b
atmosphere,It was a gaseous atmosphere.,It was a polluted atmosphere.,TRUE,Polysemy,gaseous,polluted,M2_a_M2_b,N,3.466666667,4,0.533333333,15,0.639940473,0.199588358,0.037874043,0.16523192,M2_a,M2_b
bail,He bailed out the prisoner.,He bailed out the water.,FALSE,Homonymy,prisoner,water,M1_a_M2_a,V,0.894736842,1,0.105263158,19,1.100239208,0.294229746,0.079534769,0.252412185,M1_a,M2_a
bail,He bailed out the prisoner.,He bailed out the liquid.,FALSE,Homonymy,prisoner,liquid,M1_a_M2_b,V,0.666666667,1,0.333333333,9,0.707106781,0.287322104,0.099640667,0.23570226,M1_a,M2_b
